gene	true_lfc	is_de
gene1	0	FALSE
gene2	0	FALSE
gene3	0	FALSE
gene4	-1.79453449387802	TRUE
gene5	0	FALSE
gene6	0	FALSE
gene7	0	FALSE
gene8	0	FALSE
gene9	0	FALSE
gene10	0	FALSE
gene11	0	FALSE
gene12	0	FALSE
gene13	0	FALSE
gene14	0	FALSE
gene15	-1.50750509463251	TRUE
gene16	0	FALSE
gene17	0	FALSE
gene18	2.2930187760503	TRUE
gene19	0	FALSE
gene20	0	FALSE
gene21	0	FALSE
gene22	0	FALSE
gene23	0	FALSE
gene24	0	FALSE
gene25	0	FALSE
gene26	0	FALSE
gene27	0	FALSE
gene28	0	FALSE
gene29	0	FALSE
gene30	0	FALSE
gene31	0	FALSE
gene32	0	FALSE
gene33	0	FALSE
gene34	0	FALSE
gene35	0	FALSE
gene36	0	FALSE
gene37	0	FALSE
gene38	0	FALSE
gene39	0	FALSE
gene40	0	FALSE
gene41	0	FALSE
gene42	0	FALSE
gene43	0	FALSE
gene44	0	FALSE
gene45	0	FALSE
gene46	0	FALSE
gene47	0	FALSE
gene48	1.59981120406883	TRUE
gene49	0	FALSE
gene50	0	FALSE
gene51	0	FALSE
gene52	0	FALSE
gene53	0	FALSE
gene54	0	FALSE
gene55	0	FALSE
gene56	1.9738923763507	TRUE
gene57	0	FALSE
gene58	0	FALSE
gene59	0	FALSE
gene60	-2.87073468585731	TRUE
gene61	0	FALSE
gene62	0	FALSE
gene63	0	FALSE
gene64	0	FALSE
gene65	0	FALSE
gene66	0	FALSE
gene67	0	FALSE
gene68	2.81170408608159	TRUE
gene69	-1.9244428005768	TRUE
gene70	0	FALSE
gene71	0	FALSE
gene72	0	FALSE
gene73	0	FALSE
gene74	-0.869310698763002	TRUE
gene75	2.50589405209757	TRUE
gene76	0	FALSE
gene77	0	FALSE
gene78	0	FALSE
gene79	0	FALSE
gene80	0	FALSE
gene81	0	FALSE
gene82	0	FALSE
gene83	0	FALSE
gene84	-2.08372142486041	TRUE
gene85	2.38443333283067	TRUE
gene86	0	FALSE
gene87	0	FALSE
gene88	0	FALSE
gene89	0	FALSE
gene90	2.86449058447033	TRUE
gene91	0	FALSE
gene92	0	FALSE
gene93	0	FALSE
gene94	0	FALSE
gene95	0	FALSE
gene96	0	FALSE
gene97	0	FALSE
gene98	1.6355209609028	TRUE
gene99	0	FALSE
gene100	0	FALSE
gene101	0	FALSE
gene102	0	FALSE
gene103	-0.883773237874266	TRUE
gene104	0	FALSE
gene105	-1.09687782183755	TRUE
gene106	0	FALSE
gene107	0	FALSE
gene108	0	FALSE
gene109	0	FALSE
gene110	0	FALSE
gene111	0	FALSE
gene112	0	FALSE
gene113	0	FALSE
gene114	0	FALSE
gene115	0	FALSE
gene116	0	FALSE
gene117	0	FALSE
gene118	0	FALSE
gene119	0	FALSE
gene120	0	FALSE
gene121	0	FALSE
gene122	0	FALSE
gene123	0	FALSE
gene124	0	FALSE
gene125	0	FALSE
gene126	0	FALSE
gene127	0	FALSE
gene128	0	FALSE
gene129	0	FALSE
gene130	-2.73307043127716	TRUE
gene131	0	FALSE
gene132	0	FALSE
gene133	0	FALSE
gene134	0	FALSE
gene135	2.42206421715673	TRUE
gene136	0	FALSE
gene137	0	FALSE
gene138	0	FALSE
gene139	0	FALSE
gene140	0	FALSE
gene141	0	FALSE
gene142	0	FALSE
gene143	0	FALSE
gene144	0	FALSE
gene145	0	FALSE
gene146	0	FALSE
gene147	0	FALSE
gene148	0	FALSE
gene149	0	FALSE
gene150	0	FALSE
gene151	0	FALSE
gene152	0	FALSE
gene153	0	FALSE
gene154	0	FALSE
gene155	0	FALSE
gene156	0	FALSE
gene157	0	FALSE
gene158	0	FALSE
gene159	0	FALSE
gene160	0	FALSE
gene161	0	FALSE
gene162	0	FALSE
gene163	0	FALSE
gene164	0	FALSE
gene165	0	FALSE
gene166	0	FALSE
gene167	0	FALSE
gene168	0	FALSE
gene169	0	FALSE
gene170	0	FALSE
gene171	0	FALSE
gene172	0	FALSE
gene173	0	FALSE
gene174	0	FALSE
gene175	0	FALSE
gene176	0	FALSE
gene177	0	FALSE
gene178	-1.0192460375838	TRUE
gene179	0	FALSE
gene180	0	FALSE
gene181	0	FALSE
gene182	0	FALSE
gene183	0	FALSE
gene184	0	FALSE
