gene	true_lfc	is_de
gene1	0	FALSE
gene2	0	FALSE
gene3	1.70538358215708	TRUE
gene4	-1.61004750116263	TRUE
gene5	0	FALSE
gene6	0	FALSE
gene7	0	FALSE
gene8	0	FALSE
gene9	0	FALSE
gene10	0	FALSE
gene11	0	FALSE
gene12	0	FALSE
gene13	0	FALSE
gene14	0	FALSE
gene15	0	FALSE
gene16	0	FALSE
gene17	0	FALSE
gene18	0	FALSE
gene19	-1.35923436511075	TRUE
gene20	0	FALSE
gene21	0	FALSE
gene22	0	FALSE
gene23	0	FALSE
gene24	0	FALSE
gene25	0	FALSE
gene26	0	FALSE
gene27	0	FALSE
gene28	1.60336992231896	TRUE
gene29	0	FALSE
gene30	0	FALSE
gene31	0	FALSE
gene32	0	FALSE
gene33	0	FALSE
gene34	0	FALSE
gene35	0	FALSE
gene36	0	FALSE
gene37	0	FALSE
gene38	0	FALSE
gene39	0	FALSE
gene40	0	FALSE
gene41	0	FALSE
gene42	0	FALSE
gene43	0	FALSE
gene44	0	FALSE
gene45	0	FALSE
gene46	-1.87474846484838	TRUE
gene47	0	FALSE
gene48	0	FALSE
gene49	0	FALSE
gene50	0	FALSE
gene51	0	FALSE
gene52	0	FALSE
gene53	0	FALSE
gene54	0	FALSE
gene55	0	FALSE
gene56	2.11137127352413	TRUE
gene57	0	FALSE
gene58	-1.24943743919721	TRUE
gene59	0	FALSE
gene60	0	FALSE
gene61	0	FALSE
gene62	0	FALSE
gene63	0	FALSE
gene64	0	FALSE
gene65	0	FALSE
gene66	0	FALSE
gene67	-2.4953991282382	TRUE
gene68	0	FALSE
gene69	0	FALSE
gene70	0	FALSE
gene71	0	FALSE
gene72	0	FALSE
gene73	0	FALSE
gene74	0	FALSE
gene75	0	FALSE
gene76	0	FALSE
gene77	0	FALSE
gene78	0	FALSE
gene79	0	FALSE
gene80	0	FALSE
gene81	0	FALSE
gene82	0	FALSE
gene83	0	FALSE
gene84	0	FALSE
gene85	0	FALSE
gene86	0	FALSE
gene87	0	FALSE
gene88	0	FALSE
gene89	0	FALSE
gene90	0	FALSE
gene91	0	FALSE
gene92	0	FALSE
gene93	-2.28057018877007	TRUE
gene94	0	FALSE
gene95	2.06991147034569	TRUE
gene96	-0.957738411496393	TRUE
gene97	0	FALSE
gene98	-2.27699897572165	TRUE
gene99	0	FALSE
gene100	0	FALSE
gene101	-2.54904926806921	TRUE
gene102	0	FALSE
gene103	0	FALSE
gene104	0	FALSE
gene105	0	FALSE
gene106	0	FALSE
gene107	0	FALSE
gene108	0	FALSE
gene109	0	FALSE
gene110	0	FALSE
gene111	-1.88631765847094	TRUE
gene112	0	FALSE
gene113	0	FALSE
gene114	0	FALSE
gene115	0	FALSE
gene116	0	FALSE
gene117	0	FALSE
gene118	0	FALSE
gene119	0	FALSE
gene120	0	FALSE
gene121	0	FALSE
gene122	0	FALSE
gene123	0	FALSE
gene124	0	FALSE
gene125	0	FALSE
gene126	0	FALSE
gene127	0	FALSE
gene128	0	FALSE
gene129	0	FALSE
gene130	0	FALSE
gene131	0	FALSE
gene132	0	FALSE
gene133	0	FALSE
gene134	0	FALSE
gene135	0	FALSE
gene136	0	FALSE
gene137	0	FALSE
gene138	0	FALSE
gene139	0	FALSE
gene140	0	FALSE
gene141	0	FALSE
gene142	0	FALSE
gene143	0	FALSE
gene144	0	FALSE
gene145	0	FALSE
gene146	0	FALSE
gene147	0	FALSE
gene148	0	FALSE
gene149	0	FALSE
gene150	0	FALSE
gene151	0	FALSE
gene152	0	FALSE
gene153	0	FALSE
gene154	0	FALSE
gene155	0	FALSE
gene156	0	FALSE
gene157	0	FALSE
gene158	0	FALSE
gene159	0	FALSE
gene160	0	FALSE
gene161	0	FALSE
gene162	0	FALSE
gene163	0.910902556730434	TRUE
gene164	0	FALSE
gene165	0	FALSE
gene166	0	FALSE
gene167	0	FALSE
gene168	0	FALSE
gene169	0	FALSE
gene170	-1.12722993898205	TRUE
gene171	0	FALSE
gene172	0	FALSE
gene173	0	FALSE
gene174	0	FALSE
gene175	0	FALSE
gene176	0	FALSE
gene177	1.8411757669528	TRUE
gene178	0	FALSE
gene179	0	FALSE
gene180	0	FALSE
gene181	2.05152012419421	TRUE
gene182	0	FALSE
gene183	0	FALSE
gene184	0	FALSE
